metric,Category,Sub-Category,Name,total,Type
Cost,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,2444.294,Product
Cost,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2237.3568,Product
Cost,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2236.6278,Product
Cost,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2119.6,Product
Cost,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1966.3436,Product
Cost,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",1621.8432,Product
Cost,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",1509.7368,Product
Cost,Furniture,Tables,Bretford Rectangular Conference Table Tops,13322.5246,Product
Cost,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,12793.7556,Product
Cost,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,11479.1226,Product
Cost,Furniture,Tables,Chromcraft Round Conference Tables,8399.0351,Product
Cost,Furniture,Tables,Hon 94000 Series Round Tables,8085.714,Product
Cost,Furniture,Tables,"Bevis Oval Conference Table, Walnut",7798.0824,Product
Cost,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,7775.5293,Product
Cost,Furniture,Tables,Balt Solid Wood Round Tables,7719.8121,Product
Cost,Furniture,Tables,Bretford ñJust In Timeî Height-Adjustable Multi-Task Work Tables,6599.094,Product
Cost,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,6315.435,Product
Cost,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,8057.42,Product
Cost,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,6372.5553,Product
Cost,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,4293.84,Product
Cost,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",4252.6944,Product
Cost,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,3818.2752,Product
Cost,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3520.0098,Product
Cost,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,3127.3344,Product
Cost,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,2653.6818,Product
Cost,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2638.286,Product
Cost,Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,2353.86,Product
Cost,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1169.784,Product
Cost,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1001.7216,Product
Cost,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,866.8458,Product
Cost,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,855.55,Product
Cost,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",723.6928,Product
Cost,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,593.67,Product
Cost,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,517.852,Product
Cost,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",498.2283,Product
Cost,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,446.8416,Product
Cost,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,424.4492,Product
Cost,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,19843.2342,Product
Cost,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,19700.345,Product
Cost,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,18263.52,Product
Cost,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,17589.9739,Product
Cost,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,12530.6337,Product
Cost,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,6290.7208,Product
Cost,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,5703.313,Product
Cost,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,5667.046,Product
Cost,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,5552.1369,Product
Cost,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,3684.3268,Product
Cost,Office Supplies,Envelopes,Staples,935.183,Product
Cost,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,923.4932,Product
Cost,Office Supplies,Envelopes,Airmail Envelopes,845.1751,Product
Cost,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,801.1692,Product
Cost,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,696.696,Product
Cost,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",517.1104,Product
Cost,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",483.758,Product
Cost,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,375.0505,Product
Cost,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",345.7296,Product
Cost,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",336.039,Product
Cost,Office Supplies,Fasteners,Staples,463.2654,Product
Cost,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",207.9594,Product
Cost,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",176.4476,Product
Cost,Office Supplies,Fasteners,Advantus Plastic Paper Clips,122.2,Product
Cost,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",96.2136,Product
Cost,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,80.541,Product
Cost,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",80.3352,Product
Cost,Office Supplies,Fasteners,OIC Binder Clips,68.02,Product
Cost,Office Supplies,Fasteners,Advantus Map Pennant Flags and Round Head Tacks,67.15,Product
Cost,Office Supplies,Fasteners,Rubber Band Ball,58.6432,Product
Cost,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",1804.9716,Product
Cost,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",708.9066,Product
Cost,Office Supplies,Labels,Avery 485,338.6859,Product
Cost,Office Supplies,Labels,Avery 477,329.724,Product
Cost,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,273.8,Product
Cost,Office Supplies,Labels,Round Specialty Laser Printer Labels,258.9951,Product
Cost,Office Supplies,Labels,Avery 505,207.2,Product
Cost,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",150.696,Product
Cost,Office Supplies,Labels,Avery 475,133.2,Product
Cost,Office Supplies,Labels,Avery 50,132.818,Product
Cost,Office Supplies,Paper,Xerox 1915,1526.616,Product
Cost,Office Supplies,Paper,Staples,1408.1628,Product
Cost,Office Supplies,Paper,Xerox 189,1035.918,Product
Cost,Office Supplies,Paper,Multicolor Computer Printout Paper,1035.918,Product
Cost,Office Supplies,Paper,Xerox 1941,1035.918,Product
Cost,Office Supplies,Paper,Xerox 1945,940.7205,Product
Cost,Office Supplies,Paper,Xerox 1908,913.5936,Product
Cost,Office Supplies,Paper,Xerox 1919,836.196,Product
Cost,Office Supplies,Paper,Xerox 1893,815.2911,Product
Cost,Office Supplies,Paper,Xerox 1891,777.669,Product
Cost,Office Supplies,Storage,Tennsco Single-Tier Lockers,9984.044,Product
Cost,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,9349.8942,Product
Cost,Office Supplies,Storage,Tennsco Double-Tier Lockers,9201.0678,Product
Cost,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6637.65,Product
Cost,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,6401.1532,Product
Cost,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",6121.521,Product
Cost,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,5797.647,Product
Cost,Office Supplies,Storage,Standard Rollaway File with Lock,5333.624,Product
Cost,Office Supplies,Storage,SAFCO Boltless Steel Shelving,5175.1656,Product
Cost,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",4934.0092,Product
Cost,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,17955.3836,Product
Cost,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,17292.3168,Product
Cost,Office Supplies,Supplies,Premier Automatic Letter Opener,3264.2246,Product
Cost,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,3040.0188,Product
Cost,Office Supplies,Supplies,Premier Electric Letter Opener,2641.608,Product
Cost,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",355.284,Product
Cost,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",319.046,Product
Cost,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,249.872,Product
Cost,Office Supplies,Supplies,Staples,239.0202,Product
Cost,Office Supplies,Supplies,Acme Box Cutter Scissors,234.6762,Product
Cost,Technology,Accessories,LogitechæP710e Mobile Speakerphone,8551.2429,Product
Cost,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,7737.3275,Product
Cost,Technology,Accessories,Logitech diNovo Edge Keyboard,5967.2613,Product
Cost,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,5671.008,Product
Cost,Technology,Accessories,LogitechæVX Revolution Cordless Laser Mouse for Notebooks (Black),3722.1932,Product
Cost,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,3660.1848,Product
Cost,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,3498.6,Product
Cost,Technology,Accessories,LogitechæZ-906 Speaker sys - home theater - 5.1-CH,3365.898,Product
Cost,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,2963.8518,Product
Cost,Technology,Accessories,Imation Bio 8GB USBæFlash Drive ImationæCorp,2260.864,Product
Cost,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,36399.896,Product
Cost,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,11855.8024,Product
Cost,Technology,Copiers,Canon PC1060 Personal Laser Copier,7048.8993,Product
Cost,Technology,Copiers,Canon Imageclass D680 Copier / Fax,6159.912,Product
Cost,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,5774.8845,Product
Cost,Technology,Copiers,Sharp AL-1530CS Digital Copier,4334.9133,Product
Cost,Technology,Copiers,Canon PC1080F Personal Copier,4025.9329,Product
Cost,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,3704.8765,Product
Cost,Technology,Copiers,Canon PC940 Copier,3577.4205,Product
Cost,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,3359.888,Product
Cost,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,24449.5584,Product
Cost,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,21419.874,Product
Cost,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,19979.9334,Product
Cost,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",14279.9184,Product
Cost,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,11839.9704,Product
Cost,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",10581.9186,Product
Cost,Technology,Machines,Bady BDG101FRU Card Printer,7951.9006,Product
Cost,Technology,Machines,Okidata MB760 Printer,6953.03,Product
Cost,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5277.643,Product
Cost,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,3926.9439,Product
Cost,Technology,Phones,Samsung Galaxy Mega 6.3,12120.9114,Product
Cost,Technology,Phones,Apple iPhone 5,11385.0216,Product
Cost,Technology,Phones,Wilson Electronics DB Pro Signal Booster,8362.88,Product
Cost,Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7055.7984,Product
Cost,Technology,Phones,Mitel MiVoice 5330e IP Phone,6918.7484,Product
Cost,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,6649.305,Product
Cost,Technology,Phones,Samsung Galaxy S4,5696.509,Product
Cost,Technology,Phones,ClearOne CHATAttach 160 -æspeaker phone,5641.909,Product
Cost,Technology,Phones,Polycom VVX 310 VoIP phone,5327.704,Product
Cost,Technology,Phones,Samsung Galaxy S4 Mini,5005.3935,Product
Quantity,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,37,Product
Quantity,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",35,Product
Quantity,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",34,Product
Quantity,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",34,Product
Quantity,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",32,Product
Quantity,Furniture,Bookcases,Bestar Classic Bookcase,31,Product
Quantity,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,31,Product
Quantity,Furniture,Bookcases,"Hon Metal Bookcases, Black",30,Product
Quantity,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,28,Product
Quantity,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,27,Product
Quantity,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",64,Product
Quantity,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",59,Product
Quantity,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",54,Product
Quantity,Furniture,Chairs,SAFCO Arco Folding Chair,53,Product
Quantity,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",51,Product
Quantity,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",44,Product
Quantity,Furniture,Chairs,"Global Stack Chair without Arms, Black",44,Product
Quantity,Furniture,Chairs,Hon Olson Stacker Stools,44,Product
Quantity,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,43,Product
Quantity,Furniture,Chairs,"Global Value Steno Chair, Gray",43,Product
Quantity,Furniture,Furnishings,Staples,62,Product
Quantity,Furniture,Furnishings,Eldon Wave Desk Accessories,61,Product
Quantity,Furniture,Furnishings,Flat Face Poster Frame,51,Product
Quantity,Furniture,Furnishings,Longer-Life Soft White Bulbs,44,Product
Quantity,Furniture,Furnishings,DAX Wood Document Frame,40,Product
Quantity,Furniture,Furnishings,Nu-Dell Executive Frame,39,Product
Quantity,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,38,Product
Quantity,Furniture,Furnishings,"Master Caster Door Stop, Brown",38,Product
Quantity,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,37,Product
Quantity,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",36,Product
Quantity,Furniture,Tables,KI Adjustable-Height Table,74,Product
Quantity,Furniture,Tables,Chromcraft Round Conference Tables,61,Product
Quantity,Furniture,Tables,Bretford Rectangular Conference Table Tops,46,Product
Quantity,Furniture,Tables,KI Conference Tables,44,Product
Quantity,Furniture,Tables,Bevis 36 x 72 Conference Tables,40,Product
Quantity,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",39,Product
Quantity,Furniture,Tables,"Bevis Oval Conference Table, Walnut",36,Product
Quantity,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,33,Product
Quantity,Furniture,Tables,Chromcraft Rectangular Conference Tables,30,Product
Quantity,Furniture,Tables,Hon 94000 Series Round Tables,30,Product
Quantity,Office Supplies,Appliances,Staples,52,Product
Quantity,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,41,Product
Quantity,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",41,Product
Quantity,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,40,Product
Quantity,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,40,Product
Quantity,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,36,Product
Quantity,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,35,Product
Quantity,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,31,Product
Quantity,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,31,Product
Quantity,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",31,Product
Quantity,Office Supplies,Art,Staples,86,Product
Quantity,Office Supplies,Art,Newell 312,49,Product
Quantity,Office Supplies,Art,4009 Highlighters by Sanford,44,Product
Quantity,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",44,Product
Quantity,Office Supplies,Art,Crayola Colored Pencils,40,Product
Quantity,Office Supplies,Art,Prang Drawing Pencil Set,39,Product
Quantity,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",35,Product
Quantity,Office Supplies,Art,Newell 325,34,Product
Quantity,Office Supplies,Art,Newell 333,33,Product
Quantity,Office Supplies,Art,Newell 347,32,Product
Quantity,Office Supplies,Binders,Avery Non-Stick Binders,71,Product
Quantity,Office Supplies,Binders,Storex Dura Pro Binders,71,Product
Quantity,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,67,Product
Quantity,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,59,Product
Quantity,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",51,Product
Quantity,Office Supplies,Binders,GBC Instant Report Kit,50,Product
Quantity,Office Supplies,Binders,Avery Durable Binders,50,Product
Quantity,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,50,Product
Quantity,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,49,Product
Quantity,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,48,Product
Quantity,Office Supplies,Envelopes,Staples,170,Product
Quantity,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",37,Product
Quantity,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",35,Product
Quantity,Office Supplies,Envelopes,Poly String Tie Envelopes,35,Product
Quantity,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",34,Product
Quantity,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",32,Product
Quantity,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,30,Product
Quantity,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,28,Product
Quantity,Office Supplies,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",26,Product
Quantity,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",24,Product
Quantity,Office Supplies,Fasteners,Staples,215,Product
Quantity,Office Supplies,Fasteners,Advantus Plastic Paper Clips,47,Product
Quantity,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",44,Product
Quantity,Office Supplies,Fasteners,OIC Binder Clips,38,Product
Quantity,Office Supplies,Fasteners,Stockwell Push Pins,34,Product
Quantity,Office Supplies,Fasteners,Ideal Clamps,33,Product
Quantity,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,30,Product
Quantity,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",29,Product
Quantity,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,29,Product
Quantity,Office Supplies,Fasteners,Advantus Push Pins,27,Product
Quantity,Office Supplies,Labels,Avery 485,51,Product
Quantity,Office Supplies,Labels,Avery File Folder Labels,44,Product
Quantity,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",43,Product
Quantity,Office Supplies,Labels,Avery 499,40,Product
Quantity,Office Supplies,Labels,Round Specialty Laser Printer Labels,39,Product
Quantity,Office Supplies,Labels,Avery 476,37,Product
Quantity,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,37,Product
Quantity,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",36,Product
Quantity,Office Supplies,Labels,Self-Adhesive Removable Labels,35,Product
Quantity,Office Supplies,Labels,Avery 518,35,Product
Quantity,Office Supplies,Paper,Staples,150,Product
Quantity,Office Supplies,Paper,Xerox 226,53,Product
Quantity,Office Supplies,Paper,Xerox 1898,46,Product
Quantity,Office Supplies,Paper,Xerox 1945,45,Product
Quantity,Office Supplies,Paper,Xerox 216,42,Product
Quantity,Office Supplies,Paper,Xerox 1988,41,Product
Quantity,Office Supplies,Paper,Xerox 1909,40,Product
Quantity,Office Supplies,Paper,Xerox 1919,40,Product
Quantity,Office Supplies,Paper,Xerox 1893,39,Product
Quantity,Office Supplies,Paper,Xerox 191,39,Product
Quantity,Office Supplies,Storage,Fellowes Officeware Wire Shelving,55,Product
Quantity,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,50,Product
Quantity,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",49,Product
Quantity,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,49,Product
Quantity,Office Supplies,Storage,Tennsco Double-Tier Lockers,47,Product
Quantity,Office Supplies,Storage,SAFCO Boltless Steel Shelving,46,Product
Quantity,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,45,Product
Quantity,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,45,Product
Quantity,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",43,Product
Quantity,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,43,Product
Quantity,Office Supplies,Supplies,Staples,61,Product
Quantity,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",36,Product
Quantity,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,32,Product
Quantity,Office Supplies,Supplies,Acme Box Cutter Scissors,31,Product
Quantity,Office Supplies,Supplies,Fiskars Softgrip Scissors,28,Product
Quantity,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,26,Product
Quantity,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",26,Product
Quantity,Office Supplies,Supplies,Premier Electric Letter Opener,24,Product
Quantity,Office Supplies,Supplies,"Elite 5"" Scissors",24,Product
Quantity,Office Supplies,Supplies,Acme Softgrip Scissors,23,Product
Quantity,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,57,Product
Quantity,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,52,Product
Quantity,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,50,Product
Quantity,Technology,Accessories,Maxell 4.7GB DVD-R,49,Product
Quantity,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,45,Product
Quantity,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,44,Product
Quantity,Technology,Accessories,Microsoft Sculpt Comfort Mouse,42,Product
Quantity,Technology,Accessories,LogitechæP710e Mobile Speakerphone,41,Product
Quantity,Technology,Accessories,MaxellæLTO Ultrium - 800 GB,41,Product
Quantity,Technology,Accessories,Memorex Micro Travel Drive 16 GB,39,Product
Quantity,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,38,Product
Quantity,Technology,Copiers,Canon PC-428 Personal Copier,25,Product
Quantity,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,21,Product
Quantity,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,20,Product
Quantity,Technology,Copiers,Canon PC1060 Personal Laser Copier,19,Product
Quantity,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,19,Product
Quantity,Technology,Copiers,Sharp AL-1530CS Digital Copier,17,Product
Quantity,Technology,Copiers,Canon Imageclass D680 Copier / Fax,16,Product
Quantity,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,16,Product
Quantity,Technology,Copiers,Canon PC940 Copier,15,Product
Quantity,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,18,Product
Quantity,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,17,Product
Quantity,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,16,Product
Quantity,Technology,Machines,Ricoh - Ink Collector Unit for GX3000 Series Printers,14,Product
Quantity,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,14,Product
Quantity,Technology,Machines,Bady BDG101FRU Card Printer,14,Product
Quantity,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,13,Product
